abo,term,e,p,a
actor,Air_Force_enlistee,2.06,1.56,0.86
actor,Air_Force_officer,2.07,2.42,1.6
actor,Air_Force_reservist,1.93,1.61,0.68
actor,American,1.41,1.81,1.77
actor,Arab,0.31,0.45,0.16
actor,Army_enlistee,2.39,1.64,1.3
actor,Army_officer,1.28,2.36,1.64
actor,Army_reservist,1.74,1.18,0.62
actor,Asian,1.41,0.39,-0.34
actor,Asian_American,1.15,0.8,-0.06
actor,Asian_man,0.82,0.2,-0.35
actor,Asian_woman,1.25,0.32,-0.27
actor,Australian,1.03,0.32,0.62
actor,Austrian,0.57,0.28,0.31
actor,Black,0.86,0.7,0.98
actor,Buddhist,1.45,0.61,-1.88
actor,CEO,0.71,3.22,1.48
actor,CPA,0.88,1.48,-0.5
actor,Catholic,0.55,0.49,-0.21
actor,Chinese,1.17,0.41,0.13
actor,Christian,1.5,1.44,0.65
actor,Christian_missionary,1.72,1.67,0.43
actor,German,0.58,0.68,0.62
actor,God,3.19,3.45,-0.46
actor,Hindu,0.76,0.14,-0.66
actor,Hispanic_American,1.15,-0.02,0.31
actor,Hispanic_man,0.57,-0.07,0.57
actor,Hispanic_woman,1.11,0.05,0.92
actor,Imam,0.17,1.2,-0.14
actor,Jew,1.21,0.53,0.14
actor,Marine_Corps_enlistee,1.77,1.42,1.17
actor,Marine_Corps_officer,1.99,2.58,1.82
actor,Marine_Corps_reservist,1.56,1.67,0.68
actor,Methodist,1.17,0.43,-0.1
actor,Mormon,0.15,-0.28,-0.59
actor,Muslim,0.67,0.24,-0.11
actor,Navy_enlistee,1.66,1.03,1.06
actor,Navy_officer,1.84,2.44,1.1
actor,Navy_reservist,1.86,1.5,0.43
actor,Pentecostal,0.47,0.18,0.53
actor,Protestant,1.01,0.61,0.43
actor,Turk,0.43,0.28,0.24
actor,abortionist,-0.69,1,-0.21
actor,academic,2.34,2.26,-0.12
actor,accomplice,-0.14,0.22,0.23
actor,accountant,1.03,1.16,-0.48
actor,accounting_clerk,1.06,0.46,-0.87
actor,accused,-1.46,-1.38,-0.09
actor,acquaintance,1.11,0.02,-0.16
actor,actor,0.82,1.36,1.68
actor,addict,-2.23,-2.36,0.19
actor,adolescent,0.66,-0.81,2.17
actor,adopted_child,1.97,-0.1,0.18
actor,adopted_daughter,2.01,0.36,0.15
actor,adopted_son,1.65,0.41,0.28
actor,adult,1.06,1.81,0.29
actor,adulterer,-2.98,-0.15,0.21
actor,adulteress,-2.43,0.45,0.96
actor,advertising_copy_writer,0.65,0.55,0.66
actor,advertising_executive,0.13,2.13,1.51
actor,agnostic,0.22,-0.08,-0.28
actor,aide,2,1.41,0.21
actor,airline_pilot,1.66,2.41,0.33
actor,alcoholic,-2.29,-1.83,1.13
actor,ally,2.34,2.15,-0.16
actor,alumnus,1.53,1.39,0.32
actor,ambassador,1.46,2.28,0.31
actor,anesthetist,1.52,1.85,-0.89
actor,angel,3.28,2.77,-0.86
actor,anti_Semite,-2.81,-0.36,1.35
actor,applicant,1.12,-0.63,-0.06
actor,apprentice,1.46,-0.29,0.03
actor,architect,1.52,1.7,-0.28
actor,army_chaplain,2.16,1.59,0.23
actor,army_general,1.81,3.34,2.32
actor,arsonist,-3.31,1.55,0.69
actor,artist,1.74,0.92,-0.33
actor,ass,-1.48,0.29,1.38
actor,assailant,-2.29,1.39,0.78
actor,assassin,-2.62,2.71,-0.77
actor,assembly_line_worker,0.77,-1.02,0.76
actor,assistant,1.51,-0.1,0.05
actor,astrologer,0.95,0.42,-0.63
actor,astronaut,2.33,2.13,0.76
actor,atheist,-0.19,-0.29,0.04
actor,athlete,1.81,2.5,2.45
actor,attorney,1.21,2.46,1.51
actor,attorney_general,0.94,2.54,0.73
actor,auctioneer,0.76,1.19,3.03
actor,auditor,-0.33,1.54,-0.61
actor,auditor_general,0.14,1.55,0.1
actor,aunt,1.95,0.62,0.7
actor,author,1.45,1.88,-1.13
actor,authority,0.7,2.99,0.85
actor,autistic_person,0.9,-0.86,-0.25
actor,auto_mechanic,1.15,0.58,0.55
actor,automobile_assembler,1.19,0.55,1.06
actor,baby,2.5,-2.55,1.58
actor,babysitter,2.12,1.36,0.36
actor,bachelor,0.63,0.71,1.33
actor,backstabber,-3.62,0.55,-0.07
actor,bailiff,0.72,1.56,0.1
actor,bailsman,0.58,1.57,0.55
actor,baker,1.97,0.7,0.06
actor,bandit,-2.05,0.68,1.19
actor,bank_manager,1.11,1.81,0.27
actor,bank_teller,1.27,0.57,-0.52
actor,banker,0.96,1.26,-0.52
actor,baptist,0.7,0.66,0.87
actor,barber,1.35,0.26,0.41
actor,bartender,1.33,1.18,2.16
actor,bastard,-1.48,-0.79,0.38
actor,battered_woman,-2.21,-2.09,-1.49
actor,beautician,1.32,0.05,1.11
actor,beauty,2.31,2.07,0.23
actor,beggar,-1.3,-2.71,-0.69
actor,beginner,0.42,-1.39,-0.95
actor,bellhop,1.2,-0.82,0.95
actor,benefactor,1.97,1.98,0.1
actor,best_friend,3.62,3.1,1.25
actor,best_man,2.59,1.48,0.81
actor,big_shot,-0.59,1.38,1.95
actor,bigamist,-2.02,-0.3,0.9
actor,bigot,-2.8,-0.57,1.5
actor,bill_collector,-1.07,1.63,1.02
actor,biologist,1.83,1.45,-0.11
actor,bisexual,0.18,-0.05,0.38
actor,bitch,-2.48,0.06,2.2
actor,blabbermouth,-2.05,-0.12,2.9
actor,black_man,1.6,1.17,0.95
actor,black_professional,1.56,1.48,0.71
actor,black_woman,1.45,1.34,1.7
actor,blacksmith,1.22,1.26,0.95
actor,blind_date,0.29,-0.33,0.13
actor,blind_person,0.65,-1.2,-1.52
actor,blockhead,-1.51,-1.29,-0.78
actor,blogger,0.5,0.45,0.94
actor,blonde,0.55,0.31,0.86
actor,blood_donor,2.98,2.3,-0.37
actor,blue_collar_worker,1.52,0.05,0.43
actor,board_director,1.04,2.59,1.09
actor,boarder,0.34,-0.08,-0.17
actor,bodyguard,1.86,2.65,0.39
actor,bohemian,0.71,0.08,0.07
actor,bonehead,-1.68,-1.75,-0.79
actor,bookie,-0.62,0.85,0.08
actor,bookkeeper,1.35,0.04,-1.44
actor,bookworm,1.57,0.32,-2.29
actor,boor,-0.65,-0.49,-0.88
actor,bore,-1.6,-1.09,-2
actor,born_again_Christian,1.52,0.99,0.55
actor,boss,0.91,2.79,1.07
actor,bouncer,0.55,2.3,0.63
actor,boxer,0.66,2.46,2.4
actor,boy,0.84,0.87,1.59
actor,boy_scout,1.81,0.5,0.86
actor,boyfriend,1.86,1.68,0.89
actor,braggart,-1.67,-0.62,1.81
actor,brain,3.34,3.7,2.27
actor,brat,-2.66,-0.26,2.49
actor,breadwinner,2.18,2.38,0.69
actor,bricklayer,1.21,0.69,0.11
actor,bride,2.16,1.88,0.97
actor,bridegroom,1.66,1.41,0.32
actor,bridesmaid,1.93,0.37,0.93
actor,broad,-0.31,-0.04,0.91
actor,broadcast_news_analyst,0.68,1.33,1.41
actor,brother,1.8,1.72,1.43
actor,brother_in_law,1.05,0.3,0.42
actor,brunette,1.18,0.67,0.36
actor,brute,-1.97,1.74,1.44
actor,buddy,2.66,1.98,1.01
actor,buffoon,-1.61,-1.4,0.91
actor,building_contractor,1.05,1.39,1.04
actor,bulldozer_operator,0.44,1.17,1.38
actor,bully,-3.25,0.66,2.04
actor,bum,-1.69,-2.49,-1.62
actor,bureaucrat,-0.59,1.22,0.09
actor,burglar,-3.37,0.6,-0.39
actor,bus_driver,1.31,0.17,0.05
actor,busboy,0.85,-1.16,0.33
actor,businessman,0.64,1.81,1.31
actor,businesswoman,1.82,2.35,1.6
actor,busybody,0.15,0.44,2.37
actor,butcher,0.75,0.77,0.67
actor,bystander,-0.13,-0.49,-1.27
actor,cabinet_maker,1.1,0.71,0.28
actor,cabinet_member,0.59,1.84,0.46
actor,cad,-1.36,-0.78,0.72
actor,call_girl,-1.04,-0.68,0.92
actor,capitalist,0.54,1.64,1.37
actor,captive,-1.14,-2.71,-0.76
actor,carpenter,1.25,0.65,0.86
actor,cashier,0.65,-0.73,0.42
actor,casual_laborer,0.77,-0.42,-0.05
actor,celebrity,0.25,2.25,2.16
actor,cement_worker,0.79,0.27,0.92
actor,censor,-0.97,1.73,-0.21
actor,chain_smoker,-2.29,-1.66,-0.46
actor,chairman,0.64,2.43,0.7
actor,chairman_of_the_board,1.05,3.04,0.96
actor,chairperson,1.13,2.32,0.79
actor,chairwoman,1.4,2.33,0.91
actor,chambermaid,0.5,-1.52,-0.84
actor,champion,2.36,2.69,1.67
actor,chap,1.25,0.18,0.48
actor,chaperone,1.02,1.39,-0.07
actor,chaplain,2.12,1.58,-0.52
actor,chatterbox,-0.49,0.14,2.92
actor,chauffeur,1.51,-0.51,-0.73
actor,cheat,-3.01,-0.53,-0.29
actor,cheerleader,1.05,0.24,2.93
actor,chef,1.69,1.35,1.68
actor,chemical_engineer,1.57,1.73,-0.41
actor,chemist,1.82,1.88,-0.68
