"ABO","term","E","P","A"
"behavior","abandon",-3.31,-0.08,-0.11
"behavior","abduct",-3.81,1.98,1.35
"behavior","abet",0.03,0.34,-0.18
"behavior","abhor",-2.13,0.9,0.62
"behavior","abort",-1.85,1.33,-0.21
"behavior","abuse",-3.85,0.61,1.51
"behavior","accept",2.67,2.4,-0.29
"behavior","acclaim",1.53,1.27,1.07
"behavior","accommodate",2.55,1.67,0.41
"behavior","accost",-1.34,0.89,1.4
"behavior","accuse",-1.73,1.08,1.4
"behavior","acknowledge",2.65,1.97,0.42
"behavior","address",1.4,1.31,0.43
"behavior","admire",2.19,1.38,-0.31
"behavior","admit",0.92,1.16,0.18
"behavior","admonish",-0.38,0.58,0.53
"behavior","adopt",3.12,2.88,0.15
"behavior","adore",2.56,1.54,0.11
"behavior","advise",2.57,2.28,0.28
"behavior","aggravate",-2.33,0.52,1.91
"behavior","agitate",-2.11,0.49,1.55
"behavior","agree_with",1.77,1.18,0.13
"behavior","aid",3.15,2.62,0.43
"behavior","alarm",-0.36,1.43,2.22
"behavior","alert",2.2,2,2.02
"behavior","alienate",-2.79,1.01,-0.63
"behavior","allow",1.19,1.41,-0.04
"behavior","amaze",2.59,2.71,1.62
"behavior","amuse",2.51,2.01,1.79
"behavior","analyze",0.53,1.12,-0.64
"behavior","anger",-2.22,0.96,1.65
"behavior","annihilate",-2.92,2.17,1.91
"behavior","annoy",-1.95,0.51,1.63
"behavior","answer",1.84,1.16,0.36
"behavior","antagonize",-2.8,0.77,1.55
"behavior","apologize_to",2.7,2.35,-0.92
"behavior","appeal_to",1.95,1.79,0.05
"behavior","appease",0.61,0.23,-0.36
"behavior","applaud",2.97,2.4,2.5
"behavior","appoint",1.7,2.32,0.31
"behavior","appreciate",3.38,2.62,-0.16
"behavior","apprehend",0.16,1.9,1.66
"behavior","approach",1.51,1.44,0.6
"behavior","approve_of",2.12,1.93,-0.24
"behavior","argue_with",-1.57,1.18,2.22
"behavior","arm",-0.65,2.12,1.27
"behavior","arouse",1.92,1.99,0.82
"behavior","arrest",-0.07,2.36,1.92
"behavior","ask",1.87,1.27,0.05
"behavior","ask_about",1.62,0.87,0.06
"behavior","ask_about_something",1.65,1.3,0.34
"behavior","ask_out",2.35,1.81,0.44
"behavior","assail",-1.44,0.84,1.39
"behavior","assassinate",-3.34,2.45,0.9
"behavior","assault",-3.46,1.45,2.32
"behavior","assess",0.39,1.03,-0.6
"behavior","assist",3.12,2.36,0.45
"behavior","associate_with",1.78,1.31,0.53
"behavior","assure",2.66,2.16,-0.37
"behavior","astonish",1.66,2.21,1.51
"behavior","astound",1.67,2.05,1.41
"behavior","attack",-3.1,1.43,2.35
"behavior","attend_to",2.51,1.79,0.26
"behavior","attract",2.48,2.63,0.63
"behavior","authorize",1.07,2.11,0.39
"behavior","avenge",-0.23,1.82,0.99
"behavior","avoid",-1.41,-0.31,-0.62
"behavior","awaken",-0.66,1.3,1.23
"behavior","awe",2.04,1.82,0.19
"behavior","babble_to",-0.89,-0.66,1.88
"behavior","baby",-1.2,-0.46,-0.92
"behavior","back",2.07,1.97,0.74
"behavior","backstab",-3.37,0.79,0.44
"behavior","badger",-1.92,-0.12,1.92
"behavior","bait",-1.85,0.83,-0.32
"behavior","ban",-1.59,2.09,0.89
"behavior","banish",-2.2,1.89,1.01
"behavior","bankrupt",-3.28,1.06,0.14
"behavior","banter_with",0.62,0.7,1.8
"behavior","baptize",1.72,1.95,0.25
"behavior","bargain_with",1.16,1.13,0.82
