"ABO","term","E","P","A"
"Actor","Air_Force_enlistee",2.06,1.56,0.86
"Actor","Air_Force_officer",2.07,2.42,1.6
"Actor","Air_Force_reservist",1.93,1.61,0.68
"Actor","American",1.41,1.81,1.77
"Actor","Arab",0.31,0.45,0.16
"Actor","Army_enlistee",2.39,1.64,1.3
"Actor","Army_officer",1.28,2.36,1.64
"Actor","Army_reservist",1.74,1.18,0.62
"Actor","Asian",1.41,0.39,-0.34
"Actor","Asian_American",1.15,0.8,-0.06
"Actor","Asian_man",0.82,0.2,-0.35
"Actor","Asian_woman",1.25,0.32,-0.27
"Actor","Australian",1.03,0.32,0.62
"Actor","Austrian",0.57,0.28,0.31
"Actor","Black",0.86,0.7,0.98
"Actor","Buddhist",1.45,0.61,-1.88
"Actor","CEO",0.71,3.22,1.48
"Actor","CPA",0.88,1.48,-0.5
"Actor","Catholic",0.55,0.49,-0.21
"Actor","Chinese",1.17,0.41,0.13
"Actor","Christian",1.5,1.44,0.65
"Actor","Christian_missionary",1.72,1.67,0.43
"Actor","German",0.58,0.68,0.62
"Actor","God",3.19,3.45,-0.46
"Actor","Hindu",0.76,0.14,-0.66
"Actor","Hispanic_American",1.15,-0.02,0.31
"Actor","Hispanic_man",0.57,-0.07,0.57
"Actor","Hispanic_woman",1.11,0.05,0.92
"Actor","Imam",0.17,1.2,-0.14
"Actor","Jew",1.21,0.53,0.14
"Actor","Marine_Corps_enlistee",1.77,1.42,1.17
"Actor","Marine_Corps_officer",1.99,2.58,1.82
"Actor","Marine_Corps_reservist",1.56,1.67,0.68
"Actor","Methodist",1.17,0.43,-0.1
"Actor","Mormon",0.15,-0.28,-0.59
"Actor","Muslim",0.67,0.24,-0.11
"Actor","Navy_enlistee",1.66,1.03,1.06
"Actor","Navy_officer",1.84,2.44,1.1
"Actor","Navy_reservist",1.86,1.5,0.43
"Actor","Pentecostal",0.47,0.18,0.53
"Actor","Protestant",1.01,0.61,0.43
"Actor","Turk",0.43,0.28,0.24
"Actor","abortionist",-0.69,1,-0.21
"Actor","academic",2.34,2.26,-0.12
"Actor","accomplice",-0.14,0.22,0.23
"Actor","accountant",1.03,1.16,-0.48
"Actor","accounting_clerk",1.06,0.46,-0.87
"Actor","accused",-1.46,-1.38,-0.09
"Actor","acquaintance",1.11,0.02,-0.16
"Actor","actor",0.82,1.36,1.68
"Actor","addict",-2.23,-2.36,0.19
"Actor","adolescent",0.66,-0.81,2.17
"Actor","adopted_child",1.97,-0.1,0.18
"Actor","adopted_daughter",2.01,0.36,0.15
"Actor","adopted_son",1.65,0.41,0.28
"Actor","adult",1.06,1.81,0.29
"Actor","adulterer",-2.98,-0.15,0.21
"Actor","adulteress",-2.43,0.45,0.96
"Actor","advertising_copy_writer",0.65,0.55,0.66
"Actor","advertising_executive",0.13,2.13,1.51
"Actor","agnostic",0.22,-0.08,-0.28
"Actor","aide",2,1.41,0.21
"Actor","airline_pilot",1.66,2.41,0.33
"Actor","alcoholic",-2.29,-1.83,1.13
"Actor","ally",2.34,2.15,-0.16
"Actor","alumnus",1.53,1.39,0.32
"Actor","ambassador",1.46,2.28,0.31
"Actor","anesthetist",1.52,1.85,-0.89
"Actor","angel",3.28,2.77,-0.86
"Actor","anti_Semite",-2.81,-0.36,1.35
"Actor","applicant",1.12,-0.63,-0.06
"Actor","apprentice",1.46,-0.29,0.03
"Actor","architect",1.52,1.7,-0.28
"Actor","army_chaplain",2.16,1.59,0.23
"Actor","army_general",1.81,3.34,2.32
"Actor","arsonist",-3.31,1.55,0.69
"Actor","artist",1.74,0.92,-0.33
"Actor","ass",-1.48,0.29,1.38
"Actor","assailant",-2.29,1.39,0.78
"Actor","assassin",-2.62,2.71,-0.77
"Actor","assembly_line_worker",0.77,-1.02,0.76
"Actor","assistant",1.51,-0.1,0.05
"Actor","astrologer",0.95,0.42,-0.63
"Actor","astronaut",2.33,2.13,0.76
"Actor","atheist",-0.19,-0.29,0.04
"Actor","athlete",1.81,2.5,2.45
"Actor","attorney",1.21,2.46,1.51
"Actor","attorney_general",0.94,2.54,0.73
"Actor","auctioneer",0.76,1.19,3.03
"Actor","auditor",-0.33,1.54,-0.61
"Actor","auditor_general",0.14,1.55,0.1
"Actor","aunt",1.95,0.62,0.7
"Actor","author",1.45,1.88,-1.13
"Actor","authority",0.7,2.99,0.85
"Actor","autistic_person",0.9,-0.86,-0.25
"Actor","auto_mechanic",1.15,0.58,0.55
"Actor","automobile_assembler",1.19,0.55,1.06
"Actor","baby",2.5,-2.55,1.58
"Actor","babysitter",2.12,1.36,0.36
"Actor","bachelor",0.63,0.71,1.33
"Actor","backstabber",-3.62,0.55,-0.07
"Actor","bailiff",0.72,1.56,0.1
"Actor","bailsman",0.58,1.57,0.55
"Actor","baker",1.97,0.7,0.06
"Actor","bandit",-2.05,0.68,1.19
"Actor","bank_manager",1.11,1.81,0.27
"Actor","bank_teller",1.27,0.57,-0.52
"Actor","banker",0.96,1.26,-0.52
"Actor","baptist",0.7,0.66,0.87
"Actor","barber",1.35,0.26,0.41
"Actor","bartender",1.33,1.18,2.16
"Actor","bastard",-1.48,-0.79,0.38
"Actor","battered_woman",-2.21,-2.09,-1.49
"Actor","beautician",1.32,0.05,1.11
"Actor","beauty",2.31,2.07,0.23
"Actor","beggar",-1.3,-2.71,-0.69
"Actor","beginner",0.42,-1.39,-0.95
"Actor","bellhop",1.2,-0.82,0.95
"Actor","benefactor",1.97,1.98,0.1
"Actor","best_friend",3.62,3.1,1.25
"Actor","best_man",2.59,1.48,0.81
"Actor","big_shot",-0.59,1.38,1.95
"Actor","bigamist",-2.02,-0.3,0.9
"Actor","bigot",-2.8,-0.57,1.5
"Actor","bill_collector",-1.07,1.63,1.02
"Actor","biologist",1.83,1.45,-0.11
"Actor","bisexual",0.18,-0.05,0.38
"Actor","bitch",-2.48,0.06,2.2
"Actor","blabbermouth",-2.05,-0.12,2.9
"Actor","black_man",1.6,1.17,0.95
"Actor","black_professional",1.56,1.48,0.71
"Actor","black_woman",1.45,1.34,1.7
"Actor","blacksmith",1.22,1.26,0.95
"Actor","blind_date",0.29,-0.33,0.13
"Actor","blind_person",0.65,-1.2,-1.52
"Actor","blockhead",-1.51,-1.29,-0.78
"Actor","blogger",0.5,0.45,0.94
"Actor","blonde",0.55,0.31,0.86
"Actor","blood_donor",2.98,2.3,-0.37
"Actor","blue_collar_worker",1.52,0.05,0.43
"Actor","board_director",1.04,2.59,1.09
"Actor","boarder",0.34,-0.08,-0.17
"Actor","bodyguard",1.86,2.65,0.39
"Actor","bohemian",0.71,0.08,0.07
"Actor","bonehead",-1.68,-1.75,-0.79
"Actor","bookie",-0.62,0.85,0.08
"Actor","bookkeeper",1.35,0.04,-1.44
"Actor","bookworm",1.57,0.32,-2.29
"Actor","boor",-0.65,-0.49,-0.88
"Actor","bore",-1.6,-1.09,-2
"Actor","born_again_Christian",1.52,0.99,0.55
"Actor","boss",0.91,2.79,1.07
"Actor","bouncer",0.55,2.3,0.63
"Actor","boxer",0.66,2.46,2.4
"Actor","boy",0.84,0.87,1.59
"Actor","boy_scout",1.81,0.5,0.86
"Actor","boyfriend",1.86,1.68,0.89
"Actor","braggart",-1.67,-0.62,1.81
"Actor","brain",3.34,3.7,2.27
"Actor","brat",-2.66,-0.26,2.49
"Actor","breadwinner",2.18,2.38,0.69
"Actor","bricklayer",1.21,0.69,0.11
"Actor","bride",2.16,1.88,0.97
"Actor","bridegroom",1.66,1.41,0.32
"Actor","bridesmaid",1.93,0.37,0.93
"Actor","broad",-0.31,-0.04,0.91
"Actor","broadcast_news_analyst",0.68,1.33,1.41
"Actor","brother",1.8,1.72,1.43
"Actor","brother_in_law",1.05,0.3,0.42
"Actor","brunette",1.18,0.67,0.36
"Actor","brute",-1.97,1.74,1.44
"Actor","buddy",2.66,1.98,1.01
"Actor","buffoon",-1.61,-1.4,0.91
"Actor","building_contractor",1.05,1.39,1.04
"Actor","bulldozer_operator",0.44,1.17,1.38
"Actor","bully",-3.25,0.66,2.04
"Actor","bum",-1.69,-2.49,-1.62
"Actor","bureaucrat",-0.59,1.22,0.09
"Actor","burglar",-3.37,0.6,-0.39
"Actor","bus_driver",1.31,0.17,0.05
"Actor","busboy",0.85,-1.16,0.33
"Actor","businessman",0.64,1.81,1.31
"Actor","businesswoman",1.82,2.35,1.6
"Actor","busybody",0.15,0.44,2.37
"Actor","butcher",0.75,0.77,0.67
"Actor","bystander",-0.13,-0.49,-1.27
"Actor","cabinet_maker",1.1,0.71,0.28
"Actor","cabinet_member",0.59,1.84,0.46
"Actor","cad",-1.36,-0.78,0.72
"Actor","call_girl",-1.04,-0.68,0.92
"Actor","capitalist",0.54,1.64,1.37
"Actor","captive",-1.14,-2.71,-0.76
"Actor","carpenter",1.25,0.65,0.86
"Actor","cashier",0.65,-0.73,0.42
"Actor","casual_laborer",0.77,-0.42,-0.05
"Actor","celebrity",0.25,2.25,2.16
