"ABO","term","E","P","A"
"modifier","abandoned",-3.25,-0.59,-1.23
"modifier","able_bodied",2.98,2.76,1.57
"modifier","absentminded",-1.6,-1.68,-1.49
"modifier","abusive",-3.69,1.17,1.86
"modifier","abusive_physically",-3.76,0.43,2.04
"modifier","abusive_verbally",-3.26,1.2,2.2
"modifier","accommodating",2.4,1.38,-0.38
"modifier","acquiescent",0.61,-0.37,-1
"modifier","active",2.86,2.37,2.65
"modifier","adaptive",2.84,2.71,0.54
"modifier","adventurous",2.45,2.2,2.12
"modifier","affable",1.32,0.9,0.55
"modifier","affected",-0.07,0.66,0.14
"modifier","affectionate",2.58,1.87,-0.93
"modifier","afraid",-1.97,-1.13,-0.61
"modifier","aggravated",-2.42,-0.31,0.88
"modifier","aggressive",-0.83,1.46,2.2
"modifier","aggrieved",-1.46,-0.36,-0.44
"modifier","agitated",-1.97,-0.78,1.1
"modifier","agonized",-2.75,-0.89,-0.13
"modifier","agreeable",1.99,1.09,-0.54
"modifier","aimless",-1.51,-1.94,-1.44
"modifier","alarmed",-1.37,0.21,1.53
"modifier","alert",2.32,1.9,0.84
"modifier","aloof",-0.8,-1.14,-1.25
"modifier","ambitious",2.59,2.44,1.36
"modifier","amorous",1.85,1.46,0.51
"modifier","amused",2.52,1.44,0.92
"modifier","amusing",2.38,1.75,1.78
"modifier","angry",-1.77,0.57,1.8
"modifier","anguished",-1.97,-0.68,-0.8
"modifier","annoyed",-2.08,-0.57,0.53
"modifier","annoying",-2.15,0.23,1.94
"modifier","antisocial",-1.64,-1.65,-2.34
"modifier","anxious",-1.69,-1.08,0.58
"modifier","apathetic",-1.2,-0.8,-1.79
"modifier","appalled",-1.22,-0.18,0.41
"modifier","appreciative",3.21,2.41,0.08
"modifier","apprehensive",-1.45,-0.46,-0.63
"modifier","aroused",2.16,1.66,1.05
"modifier","arrogant",-2.38,-0.4,1.79
"modifier","artistic",2.48,1.56,0.73
"modifier","artistical",2.4,1.4,-0.72
"modifier","ashamed",-2.36,-0.41,-1.73
"modifier","assertive",1.31,2.36,1.88
"modifier","astonished",0.85,0.66,0.96
"modifier","at_ease",2.84,1.99,-2.1
"modifier","attentive",2.8,2.04,-0.74
"modifier","attractive",2.36,2.26,0.69
"modifier","audacious",0.48,1.24,1.75
"modifier","authoritarian",-0.45,2.02,1.24
"modifier","autonomous",0.92,1.59,0.17
"modifier","average",-0.61,-1.2,-0.77
"modifier","awe_struck",1.4,0.88,0.22
"modifier","awkward",-0.63,-0.93,-1.02
"modifier","bad",-3.04,0.7,1.04
"modifier","bad_tempered",-2.78,-0.47,2
"modifier","beautiful",2.41,2.35,0.45
"modifier","belligerent",-2.29,-0.41,2
"modifier","benevolent",2.35,1.82,-0.25
"modifier","betrayed",-3.49,0.82,0.01
"modifier","big",0.56,2.07,0.15
"modifier","bitchy",-2.78,0.04,2.52
"modifier","bitter",-2.33,-0.93,-0.6
"modifier","black",0.77,0.32,0.97
"modifier","blue",-2.18,-1.39,-1.94
"modifier","bold",2.15,2.53,1.93
"modifier","bored",-1.85,-0.86,-2.01
"modifier","boring",-1.68,-1.79,-2.45
"modifier","bossy",-1.38,1.11,1.96
"modifier","brave",3.09,3.08,1.36
"modifier","bright",2.79,2.7,1.21
"modifier","broad_minded",2.33,2.06,0.09
"modifier","broken_hearted",-2.97,-0.36,-1.47
"modifier","bullheaded",-1.36,0.35,1.18
"modifier","calm",2.88,1.93,-2.32
"modifier","candid",1.42,1.25,0.8
"modifier","cantankerous",-1.3,-0.15,1.19
"modifier","captivated",1.67,1.22,0.62
"modifier","carefree",1.58,0.93,-0.13
"modifier","careful",1.91,1.26,-1.42
"modifier","careless",-2.4,-0.97,0.66
"modifier","caring",3.24,2.75,-0.6
"modifier","cautious",2.02,0.94,-1.48
"modifier","charmed",1.73,1.32,0.2
"modifier","charming",2.32,2.2,0.48
"modifier","cheerful",3.07,2.18,1.58
"modifier","cheerless",-2.29,-1.25,-2.42
"modifier","childish",-1.12,-1.24,2.18
"modifier","clean_cut",2.01,1.39,-0.27
"modifier","clever",2.29,2.37,0.66
"modifier","clumsy",-1.04,-1.19,1.07
"modifier","cocky",-1.94,-0.32,1.79
"modifier","cold",-1.81,-0.7,-1.74
"modifier","communicative",2.63,2.54,1.06
"modifier","compassionate",3.13,2.46,0.18
"modifier","competent",2.81,2.74,0.43
"modifier","competitive",1.43,1.66,2.04
"modifier","composed",2.58,2.17,-1.43
"modifier","compulsive",-0.65,-0.21,1.81
"modifier","conceited",-2.48,-0.36,1.05
"modifier","confident",2.92,3.03,0.88
"modifier","confused",-1.66,-1.43,-0.58
"modifier","conscientious",2.15,1.58,-0.6
"modifier","conservative",0.43,0.79,-0.33
"modifier","considerate",3.35,2.49,-0.54
"modifier","contemptuous",-1.46,-0.33,0.47
"modifier","contented",2.35,1.7,-0.74
"modifier","contrite",0.08,0.21,-0.52
"modifier","conventional",0.51,-0.09,-0.78
"modifier","cool",1.69,1.46,0.61
"modifier","cooperative",2.44,1.62,-0.5
"modifier","courageous",2.93,3.2,1.26
"modifier","courteous",3.32,2.36,-0.22
"modifier","cowardly",-2.27,-2.8,-1.58
"modifier","coy",0.03,0.06,-1.08
"modifier","crafty",2.02,1.71,0.13
"modifier","crazy",-0.92,0.03,2.03
"modifier","creative",2.9,2.28,0.83
"modifier","credible",3.09,2.95,-0.22
"modifier","critical",0.11,1.35,1.04
"modifier","crude",-2.09,-0.23,1.11
"modifier","cruel",-3.47,0.5,0.55
"modifier","crushed",-2.94,-0.52,-1.05
"modifier","cultivated",1.78,1.6,-0.14
"modifier","cunning",0.72,1.77,0.16
"modifier","curious",2.25,1.71,0.51
"modifier","cute",2.12,1.26,0.24
"modifier","cynical",-1.68,-0.35,-0.03
"modifier","daring",1.24,1.99,2.04
"modifier","deceitful",-2.82,0.53,-0.34
"modifier","decent",2.71,1.65,-0.57
"modifier","decisive",2.62,2.33,1.25
"modifier","defensive",-0.14,0.25,0.95
"modifier","defiant",-0.82,0.96,1.41
"modifier","deflated",-2.23,-1.59,-1.73
"modifier","dejected",-2.44,-0.71,-1.43
"modifier","delicate",0.79,-0.48,-1.99
"modifier","delighted",3.41,2.65,1.37
"modifier","demanding",-1.02,0.95,2
"modifier","demure",0.66,0.02,-0.99
"modifier","dependable",3.23,2.78,0
"modifier","dependent",-1.26,-1.74,-0.98
"modifier","deprave",-2.25,-0.12,-0.13
"modifier","depressed",-3.37,-1.98,-2.88
"modifier","desperate",-2.89,-1.5,-0.57
"modifier","despondent",-1.85,-1.43,-1.68
"modifier","determined",2.82,2.83,0.72
"modifier","devoted",2.93,2.32,-0.22
"modifier","diffident",0.11,0.56,-0.6
"modifier","dignified",2.52,2.46,-0.43
"modifier","diligent",3.11,2.45,-0.24
"modifier","dirty",-1.51,-0.72,0.33
"modifier","disabled",-1.34,-1.23,-1.49
"modifier","disagreeable",-1.36,-0.07,1.15
"modifier","disappointed",-2.42,-1.15,-1.39
"modifier","disapproving",-1.57,0.46,0.12
"modifier","disconcerted",-1.48,-0.61,-0.18
"modifier","discontented",-2.06,-0.48,-0.99
"modifier","discouraged",-2.46,-1.57,-1.85
"modifier","discreet",1.04,0.98,-2.13
"modifier","disgusted",-2.27,0.22,0.43
"modifier","disheartened",-2.47,-1.13,-1.66
"modifier","dishonest",-3.14,-0.28,-0.26
"modifier","disloyal",-3.1,0.07,0.1
"modifier","dismayed",-1.93,-0.64,-0.78
"modifier","disobedient",-2.07,0.11,1.2
"modifier","displeased",-2.07,-0.32,-0.7
"modifier","disreputable",-2.13,-0.77,0.86
"modifier","disrespectful",-3.06,-0.74,1.1
"modifier","dissatisfied",-2.45,-0.79,-1.47
"modifier","distant",-1.36,-0.06,-2.06
"modifier","distressed",-2.43,-1.28,0.6
"modifier","distrustful",-2.21,-0.48,-0.41
"modifier","disturbed",-2.4,-0.42,0.23
"modifier","divorced",-1.69,-0.36,0.13
"modifier","dogmatic",-0.11,0.31,0.71
"modifier","dominant",0.83,2.9,1.68
"modifier","domineering",-1.36,2.29,1.45
"modifier","doubtful",-1.29,-0.86,-1.21
"modifier","downhearted",-2.07,-1,-1.8
"modifier","drowsy",-1.7,-1.22,-2.36
"modifier","drunken",-1.32,-1.59,1.76
"modifier","dull",-2.02,-2.12,-2.57
"modifier","dumb",-2.18,-2.13,-1.41
"modifier","dutiful",2.11,1.38,-0.12
"modifier","eager",1.45,0.96,1.79
"modifier","earnest",2.32,1.42,-0.34
"modifier","easygoing",1.96,0.91,-0.88
"modifier","eccentric",1.08,1.16,1.72
"modifier","ecstatic",2.77,2.27,2.22
"modifier","educated",3.43,3.34,0.4
"modifier","effective",2.92,2.84,0.73
"modifier","efficient",2.99,2.71,1.39
"modifier","egoistic",-2.17,0.17,1.44
"modifier","egotistical",-1.89,0.16,1.4
"modifier","elated",2.92,2.11,1.47
"modifier","elderly",0.58,-0.73,-2.06
"modifier","elegant",2.18,1.78,-0.64
"modifier","embarrassed",-2.09,-1.35,-0.6
"modifier","embittered",-1.62,-1.07,-0.76
"modifier","emotional",0,0,0.31
"modifier","empathetic",2.45,1.62,-0.98
"modifier","employed",3.19,2.24,0.75
"modifier","empty",-3.19,-2.01,-2.63
"modifier","energetic",2.89,2.56,2.78
"modifier","enraged",-2.58,1.34,2.7
"modifier","enterprising",1.46,1.85,1.05
"modifier","enthralled",1.87,1.51,1.35
"modifier","enthusiastic",2.85,2.35,2.31
"modifier","entrusting",1.82,1.56,-0.45
"modifier","envious",-1.9,-0.77,-0.73
"modifier","erratic",-1.06,-0.52,1.95
"modifier","esteemed",2.31,2.23,0.04
"modifier","euphoric",3.02,2.22,1.33
"modifier","evil",-3.42,1.12,0.62
"modifier","exasperated",-1.93,-1.33,-0.21
"modifier","excitable",1.62,1.24,2.32
"modifier","excited",2.69,2.18,2.24
"modifier","experienced",3.05,2.71,0.69
"modifier","extravagant",0.37,1.52,2.21
"modifier","extroverted",1.25,1.63,2.38
"modifier","exuberant",2.35,2.11,1.7
"modifier","fair",3.12,2.1,-0.27
"modifier","faithful",2.92,2.35,-0.74
"modifier","fashionable",1.7,1.14,0.95
"modifier","fearful",-2.37,-1.04,-0.71
"modifier","fed_up",-2.42,-0.64,0.05
"modifier","female",1.96,1.48,0.75
